iter	Passed	Remaining
465	712	816
466	712	813
467	713	811
468	714	809
469	715	807
470	716	804
471	717	802
472	718	800
473	719	798
474	720	795
475	720	793
476	721	791
477	722	789
478	723	787
479	724	784
480	725	782
481	726	780
482	727	778
483	727	776
484	728	773
485	729	771
486	730	769
487	731	767
488	732	765
489	733	763
490	734	761
491	735	759
492	736	757
493	737	755
494	738	753
495	739	751
496	740	749
497	740	746
498	741	744
499	742	742
500	743	741
501	744	738
502	745	736
503	746	734
504	747	732
505	748	730
506	749	728
507	750	726
508	750	724
509	751	722
510	752	720
511	753	718
512	754	716
513	755	714
514	756	712
515	757	710
516	758	708
517	759	706
518	759	704
519	760	702
520	761	700
521	762	698
522	763	696
523	764	694
524	765	692
525	765	690
526	766	688
527	767	686
528	768	684
529	769	682
530	770	680
531	771	678
532	772	676
533	773	674
534	774	672
535	774	670
536	775	668
537	776	666
538	777	665
539	778	663
540	779	661
541	780	659
542	780	657
543	781	655
544	782	653
545	783	651
546	784	649
547	785	647
548	786	646
549	787	644
550	788	642
551	789	640
552	790	638
553	791	636
554	792	635
555	792	633
556	793	631
557	794	629
558	795	627
559	796	625
560	797	623
561	798	622
562	799	620
563	800	618
564	801	616
565	801	614
566	802	613
567	803	611
568	804	609
569	805	607
570	806	605
571	807	604
572	808	602
573	809	600
574	810	598
575	810	596
576	811	595
577	812	593
578	813	591
579	815	590
580	815	588
581	816	586
582	817	585
583	818	583
584	819	581
585	820	579
586	821	577
587	822	576
588	823	574
589	824	572
590	825	570
591	826	569
592	827	567
593	828	566
594	829	564
595	830	562
596	831	560
597	831	559
598	832	557
599	833	555
600	834	553
601	835	552
602	836	550
603	836	548
604	837	547
605	838	545
606	839	543
607	840	541
608	841	540
609	842	538
610	843	536
611	843	535
612	844	533
613	845	531
614	846	529
615	847	528
616	848	526
617	849	524
618	850	523
619	850	521
620	851	519
621	852	518
622	853	516
623	854	514
624	855	513
625	856	511
626	857	509
627	858	508
628	859	506
629	860	505
630	861	503
631	862	502
632	864	501
633	865	499
634	866	497
635	866	496
636	867	494
637	868	492
638	869	491
639	870	489
640	871	487
641	872	486
642	873	485
643	874	483
644	875	482
645	876	480
646	877	478
647	878	477
648	878	475
649	879	473
650	880	472
651	881	470
652	882	468
653	883	467
654	884	465
655	885	464
656	885	462
657	886	460
658	887	459
659	888	457
660	889	456
661	890	454
662	891	453
663	892	451
664	893	449
665	894	448
666	894	446
667	895	445
668	896	443
669	897	441
670	898	440
671	898	438
672	899	437
673	900	435
674	901	434
675	902	432
676	903	431
677	904	429
678	905	428
679	906	426
680	906	424
681	907	423
682	908	421
683	909	420
684	910	418
685	911	417
686	912	415
687	912	413
688	913	412
689	914	410
690	915	409
691	916	407
692	917	406
693	918	404
694	919	403
695	920	401
696	920	400
697	921	398
698	922	397
699	923	395
700	924	394
701	925	392
702	926	391
703	926	389
704	927	388
705	928	386
706	929	385
707	930	383
708	931	382
709	932	380
710	933	379
711	934	377
712	935	376
713	936	374
714	937	373
715	937	372
716	938	370
717	939	369
718	940	367
719	941	366
720	942	364
721	943	363
722	944	361
723	944	360
724	945	358
725	946	357
726	947	355
727	948	354
728	949	353
729	950	351
730	951	350
731	952	348
732	953	347
733	954	345
734	955	344
735	955	342
736	956	341
737	957	339
738	958	338
739	959	337
740	960	335
741	960	334
742	962	332
743	963	331
744	963	329
745	964	328
746	965	327
747	966	325
748	967	324
749	968	322
750	969	321
751	969	319
752	970	318
753	971	317
754	972	315
755	973	314
756	974	312
757	974	311
758	975	309
759	976	308
760	977	307
761	978	305
762	979	304
763	980	302
764	981	301
765	982	300
766	983	298
767	983	297
768	984	295
769	985	294
770	986	292
771	987	291
772	988	290
773	988	288
774	989	287
775	990	285
776	991	284
777	992	283
778	993	281
779	994	280
780	995	279
781	996	277
782	996	276
783	997	274
784	998	273
785	999	272
786	1000	270
787	1001	269
788	1002	267
789	1002	266
790	1003	265
791	1004	263
792	1005	262
793	1006	261
794	1007	259
795	1008	258
796	1009	257
797	1010	255
798	1011	254
799	1011	252
800	1012	251
801	1013	250
802	1014	248
803	1015	247
804	1016	246
805	1016	244
806	1017	243
807	1018	242
808	1019	240
809	1020	239
810	1021	238
811	1022	236
812	1023	235
813	1024	234
814	1025	232
815	1026	231
816	1027	230
817	1027	228
818	1028	227
819	1029	226
820	1030	224
821	1031	223
822	1032	222
823	1033	220
824	1034	219
825	1034	218
826	1036	216
827	1037	215
828	1038	214
829	1039	212
830	1039	211
831	1040	210
832	1041	208
833	1042	207
834	1043	206
835	1044	204
836	1045	203
837	1046	202
838	1046	200
839	1047	199
840	1048	198
841	1049	196
842	1050	195
843	1051	194
844	1052	193
845	1053	191
846	1054	190
847	1055	189
848	1056	187
849	1056	186
850	1057	185
851	1058	183
852	1059	182
853	1060	181
854	1061	179
855	1062	178
856	1063	177
857	1063	176
858	1064	174
859	1065	173
860	1067	172
861	1068	170
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1072	164
867	1073	163
868	1074	161
869	1075	160
870	1075	159
871	1076	158
872	1077	156
873	1078	155
874	1079	154
875	1080	152
876	1081	151
877	1082	150
878	1083	149
879	1084	147
880	1084	146
881	1085	145
882	1086	143
883	1087	142
884	1088	141
885	1089	140
886	1089	138
887	1090	137
888	1091	136
889	1092	135
890	1093	133
891	1094	132
892	1095	131
893	1096	130
894	1097	128
895	1098	127
896	1099	126
897	1100	125
898	1101	123
899	1102	122
900	1103	121
901	1104	119
902	1105	118
903	1105	117
904	1106	116
905	1107	114
906	1108	113
907	1109	112
908	1110	111
909	1111	109
910	1112	108
911	1113	107
912	1114	106
913	1115	104
914	1116	103
915	1116	102
916	1117	101
917	1118	99
918	1119	98
919	1120	97
920	1121	96
921	1122	94
922	1122	93
923	1123	92
924	1124	91
925	1125	89
926	1126	88
927	1127	87
928	1128	86
929	1129	85
930	1130	83
931	1131	82
932	1132	81
933	1134	80
934	1135	78
935	1136	77
936	1137	76
937	1138	75
938	1138	73
939	1139	72
940	1141	71
941	1142	70
942	1143	69
943	1144	67
944	1145	66
945	1146	65
946	1148	64
947	1149	63
948	1149	61
949	1150	60
950	1151	59
951	1152	58
952	1153	56
953	1154	55
954	1155	54
955	1156	53
956	1157	52
957	1158	50
958	1160	49
959	1161	48
960	1162	47
961	1163	45
962	1164	44
963	1164	43
964	1165	42
965	1166	41
966	1167	39
967	1168	38
968	1169	37
969	1170	36
970	1171	35
971	1173	33
972	1173	32
973	1175	31
974	1176	30
975	1177	28
976	1178	27
977	1178	26
978	1179	25
979	1180	24
980	1181	22
981	1182	21
982	1183	20
983	1184	19
984	1185	18
985	1186	16
986	1187	15
987	1189	14
988	1190	13
989	1190	12
990	1191	10
991	1192	9
992	1193	8
993	1194	7
994	1194	6
995	1195	4
996	1196	3
997	1197	2
998	1198	1
999	1199	0
